"column_name","data_type","is_nullable","column_default"
"sys3_ess_make","text","YES",NULL
"sys3_ess_model","text","YES",NULL
"sys3_ess_id","uuid","YES",NULL
"sys3_ess_main_breaker_rating","text","YES",NULL
"sys3_ess_upstream_breaker_rating","text","YES",NULL
"sys3_ess_upstream_breaker_location","text","YES",NULL
"sys3_battery1_existing","boolean","YES",NULL
"sys3_battery_1_qty","integer","YES",NULL
"sys3_battery_1_make","text","YES",NULL
"sys3_battery_1_model","text","YES",NULL
"sys3_battery1_id","uuid","YES",NULL
"sys3_battery2_existing","boolean","YES",NULL
"sys3_battery_2_qty","integer","YES",NULL
"sys3_battery_2_make","text","YES",NULL
"sys3_battery_2_model","text","YES",NULL
"sys3_battery2_id","uuid","YES",NULL
"sys3_combination_method","text","YES",NULL
"sys4_solar_panel_existing","boolean","YES",NULL
"sys4_solar_panel_qty","integer","YES",NULL
"sys4_solar_panel_make","text","YES",NULL
"sys4_solar_panel_model","text","YES",NULL
"sys4_solarpanel_id","uuid","YES",NULL
"sys4_micro_inverter_existing","boolean","YES",NULL
"sys4_micro_inverter_make","text","YES",NULL
"sys4_micro_inverter_model","text","YES",NULL
"sys4_micro_inverter_id","uuid","YES",NULL
"sys4_micro_inverter_qty","integer","YES",NULL
"sys4_combiner_existing","boolean","YES",NULL
"sys4_combiner_panel_make","text","YES",NULL
"sys4_combiner_panel_model","text","YES",NULL
"sys4_combinerpanel_id","uuid","YES",NULL
"sys4_optimizer_existing","boolean","YES",NULL
"sys4_optimizer_make","text","YES",NULL
"sys4_optimizer_model","text","YES",NULL
"sys4_optimizer_id","uuid","YES",NULL
"sys4_inv_max_continuous_output","text","YES",NULL
"sys4_panel_count","integer","YES",NULL
"sys4_branch_string_1","text","YES",NULL
"sys4_branch_string_2","text","YES",NULL
"sys4_branch_string_3","text","YES",NULL
"sys4_branch_string_4","text","YES",NULL
"sys4_branch_string_5","text","YES",NULL
"sys4_branch_string_6","text","YES",NULL
"sys4_branch_string_7","text","YES",NULL
