"id","model","status","manufacturer","equipment_type","uuid","created_at","is_validated"
40,"IQ7AS-66-2-US",NULL,"Enphase","MicroInverter","90a568da-7797-4414-83a4-e5eb70cdd897","2024-08-12 14:33:46.20281+00",False
41,"IQ7AS-66-E-ACM-US",NULL,"Enphase","MicroInverter","5a2a428a-dada-4a76-bc9a-eb97e1d7455e","2024-08-12 14:33:46.20281+00",False
42,"IQ7AS-66-ACM-US-NM",NULL,"Enphase","MicroInverter","c2b505b7-ac22-4cec-b1b4-23aa5e97df53","2024-08-12 14:33:46.20281+00",False
43,"IQ7AS-66-ACM-US",NULL,"Enphase","MicroInverter","06cfe2c7-09b6-4652-921d-c7679ccd68cd","2024-08-12 14:33:46.20281+00",False
44,"IQ7AS-66-ACM-US-RMA",NULL,"Enphase","MicroInverter","3e145266-16f1-4c51-901c-fdaa98897159","2024-08-12 14:33:46.20281+00",False
45,"IQ7AS-66-E-ACM-US-NM",NULL,"Enphase","MicroInverter","a1c6680b-50a7-41e8-85f8-c592670f8170","2024-08-12 14:33:46.20281+00",False
46,"IQ7HS-66-ACM-US",NULL,"Enphase","MicroInverter","413e564d-4f82-4b81-8d68-cb2234f8cf08","2024-08-12 14:33:46.20281+00",False
47,"IQ7GPLUS-72-2-US",NULL,"Enphase","MicroInverter","394511b9-a1d0-4771-bb71-bc0199fca7e0","2024-08-12 14:33:46.20281+00",False
48,"IQ7AS-66-E-US",NULL,"Enphase","MicroInverter","7a6baa28-7959-4e8f-b6d5-2cab85879e40","2024-08-12 14:33:46.20281+00",False
49,"IQ7HS-66-ACM-US-NM",NULL,"Enphase","MicroInverter","6d1e69bb-d65f-40d8-9f96-25fe27de062c","2024-08-12 14:33:46.20281+00",False
50,"IQ7HS-66-E-ACM-US-NM",NULL,"Enphase","MicroInverter","cb9a1ca1-b63e-41bd-924c-2ead04063d47","2024-08-12 14:33:46.20281+00",False
51,"IQ7HS-66-E-ACM-US",NULL,"Enphase","MicroInverter","85990e86-b5a2-4a65-847e-2c00994ea13e","2024-08-12 14:33:46.20281+00",False
52,"IQ7HS-66-M-ACM-US",NULL,"Enphase","MicroInverter","59242e10-49fe-4ac1-8394-32dd9b263aac","2024-08-12 14:33:46.20281+00",False
53,"IQ7PD-72-2-US",NULL,"Enphase","MicroInverter","8562656c-090e-49f2-bb99-27075d05ae4e","2024-08-12 14:33:46.20281+00",False
54,"IQ7HS-66-M-US",NULL,"Enphase","MicroInverter","8bf518d7-0422-4ec2-b98d-fe3008f80c38","2024-08-12 14:33:46.20281+00",False
55,"IQ7HS-66-M-ACM-US-RMA",NULL,"Enphase","MicroInverter","02a88659-d890-4925-9493-0df64d5d62c4","2024-08-12 14:33:46.20281+00",False
56,"IQ7HS-66-M-ACM-US-NM",NULL,"Enphase","MicroInverter","2053314c-3ebe-4959-8208-9122f336a16f","2024-08-12 14:33:46.20281+00",False
57,"IQ7PLUS-72-2-US",NULL,"Enphase","MicroInverter","40107d6f-1400-49b7-b846-5eb74f350245","2024-08-12 14:33:46.20281+00",False
58,"IQ7PD-84-2-US",NULL,"Enphase","MicroInverter","0f4eba3f-0554-4f00-acc2-7038a78797cd","2024-08-12 14:33:46.20281+00",False
59,"IQ7PLUS-72-5-US",NULL,"Enphase","MicroInverter","469cb4f4-23e9-4052-9c99-72ec57a6e867","2024-08-12 14:33:46.20281+00",False
60,"IQ7PLUS-72-ACM-US",NULL,"Enphase","MicroInverter","54bd9ada-d2c2-449c-9bac-c3614efac7d0","2024-08-12 14:33:46.20281+00",False
61,"IQ7PLUS-72-E-US",NULL,"Enphase","MicroInverter","f2240bdb-52b7-439b-a95b-b49bfd5df2fc","2024-08-12 14:33:46.20281+00",False
62,"IQ7PLUS-72-E-ACM-US",NULL,"Enphase","MicroInverter","e6db9cde-9143-4e52-aab3-6f8439de56a8","2024-08-12 14:33:46.20281+00",False
63,"IQ7PLUS-72-E-ACM-US-NM",NULL,"Enphase","MicroInverter","45ac1699-519a-4a86-9a4f-59fb31585086","2024-08-12 14:33:46.20281+00",False
64,"IQ7PLUS-72-ACM-US-NM",NULL,"Enphase","MicroInverter","ce4af8f7-6ce5-4fa1-ba64-ee2f020ff041","2024-08-12 14:33:46.20281+00",False
65,"IQ7X-96-5-US",NULL,"Enphase","MicroInverter","ccdccbf2-8884-4a7d-957a-7098bd72a314","2024-08-12 14:33:46.20281+00",False
66,"IQ7X-96-2-US",NULL,"Enphase","MicroInverter","31ef4ef5-a7a5-4101-98db-6dfb3a1dd6b3","2024-08-12 14:33:46.20281+00",False
67,"IQ7X-96-ACM-US",NULL,"Enphase","MicroInverter","9099198c-048c-483b-84b6-e3cef2c5943d","2024-08-12 14:33:46.20281+00",False
68,"IQ7PLUS-72-M-US",NULL,"Enphase","MicroInverter","7a044276-e266-46c2-8bfa-9896e0fd370d","2024-08-12 14:33:46.20281+00",False
69,"IQ7X-96-ACM-US-NM",NULL,"Enphase","MicroInverter","6cb65dec-ca5d-4dcf-a9b1-10b419fe6580","2024-08-12 14:33:46.20281+00",False
70,"IQ7X-96-E-US",NULL,"Enphase","MicroInverter","c65797f3-5266-4c1e-ad9b-40336a363610","2024-08-12 14:33:46.20281+00",False
71,"IQ7X-96-E-ACM-US-NM",NULL,"Enphase","MicroInverter","e2d14a67-531a-484b-b8a0-fe34a196a0aa","2024-08-12 14:33:46.20281+00",False
72,"IQ7X-96-E-ACM-US",NULL,"Enphase","MicroInverter","d4aac32d-9ce3-490a-bf19-a148ed74c92d","2024-08-12 14:33:46.20281+00",False
73,"IQ7XS-96-5-US",NULL,"Enphase","MicroInverter","2f89708a-5863-40b9-a8b5-2960ff79e5ad","2024-08-12 14:33:46.20281+00",False
74,"IQ7X-96-M-US",NULL,"Enphase","MicroInverter","ff2c8270-a4c3-426e-8dc8-a913b96933bb","2024-08-12 14:33:46.20281+00",False
75,"IQ7XS-96-ACM-US",NULL,"Enphase","MicroInverter","c908c30a-f03e-4578-bf1d-990eb5a64cf2","2024-08-12 14:33:46.20281+00",False
76,"IQ7XS-96-2-US",NULL,"Enphase","MicroInverter","d3be2da1-40cd-46f7-8f90-6f145d15b17b","2024-08-12 14:33:46.20281+00",False
77,"IQ7XS-96-ACM-US-RMA",NULL,"Enphase","MicroInverter","56d518ad-54b4-4eef-9a52-e78f37e1bf1d","2024-08-12 14:33:46.20281+00",False
78,"IQ7XS-96-E-ACM-US",NULL,"Enphase","MicroInverter","624000a8-7ac2-4f36-81d2-29f921b09698","2024-08-12 14:33:46.20281+00",False
79,"IQ7XS-96-E-ACM-US-NM",NULL,"Enphase","MicroInverter","8a4030fb-ff15-4b4e-99bb-b6150f6e2bb9","2024-08-12 14:33:46.20281+00",False
80,"IQ7XS-96-ACM-US-NM",NULL,"Enphase","MicroInverter","0b9d9cfd-65ed-4647-98dd-67b2a93726b3","2024-08-12 14:33:46.20281+00",False
81,"IQ8A-72-2-US",NULL,"Enphase","MicroInverter","84334d5c-3540-4e52-97a2-93ee9b33529c","2024-08-12 14:33:46.20281+00",False
82,"IQ7XS-96-E-US",NULL,"Enphase","MicroInverter","63949f7c-ed15-45d5-ab9a-209ef57e2bb0","2024-08-12 14:33:46.20281+00",False
83,"IQ8-60-M-US",NULL,"Enphase","MicroInverter","5c1435e3-4f9a-4eb3-bd19-59c7cf60d75e","2024-08-12 14:33:46.20281+00",False
84,"IQ8-60-2-US",NULL,"Enphase","MicroInverter","e2842f92-0060-46eb-ac15-efe496384d09","2024-08-12 14:33:46.20281+00",False
85,"IQ8M-72-2-US",NULL,"Enphase","MicroInverter","b6e0cb91-347e-44f2-b1fc-5db00a32cc3a","2024-08-12 14:33:46.20281+00",False
86,"IQ8H-240-72-M-US",NULL,"Enphase","MicroInverter","16e26eac-39c6-4744-9886-623d5cd4f811","2024-08-12 14:33:46.20281+00",False
87,"IQ8A-72-M-US",NULL,"Enphase","MicroInverter","2688fb3e-93d6-4d85-8bd8-59ec5dad6439","2024-08-12 14:33:46.20281+00",False
88,"IQ8H-240-72-2-US",NULL,"Enphase","MicroInverter","0daa7516-d7ef-433f-83f6-844b1852e76e","2024-08-12 14:33:46.20281+00",False
89,"IQ8PLUS-72-M-US",NULL,"Enphase","MicroInverter","47ec7222-c9f6-4707-aacc-7ee95990facc","2024-08-12 14:33:46.20281+00",False
90,"IQ8M-72-M-US",NULL,"Enphase","MicroInverter","876316d1-c593-4079-bde7-7f1bf770b0d2","2024-08-12 14:33:46.20281+00",False
91,"IQ8PLUS-72-2-US",NULL,"Enphase","MicroInverter","c8d8125b-1e55-4ce7-a4ba-a2136a9f19f7","2024-08-12 14:33:46.20281+00",False
92,"IQ8X-BAT-US",NULL,"Enphase","MicroInverter","dbc1c5d7-c82f-4e9e-b76c-db5b4576a834","2024-08-12 14:33:46.20281+00",False
93,"S230-60-LL-x",NULL,"Enphase","MicroInverter","601cff86-f74f-41ed-b112-eb4a6234c727","2024-08-12 14:33:46.20281+00",False
94,"S280-60-LL-x",NULL,"Enphase","MicroInverter","d5ee6fa7-ffd0-4951-90dc-5a6014d06444","2024-08-12 14:33:46.20281+00",False
95,"XACM-IQ7-LR6-60PB-300M",NULL,"Enphase","MicroInverter","1f0f7ead-097b-4943-a52e-34ffc6773be4","2024-08-12 14:33:46.20281+00",False
96,"XACM-IQ7-LR6-60PB-305M",NULL,"Enphase","MicroInverter","230e1b8b-8f5a-45ac-9446-6424399016e9","2024-08-12 14:33:46.20281+00",False
97,"Q.PEAK DUO BLK-G10+/AC 360",NULL,"Hanwha","MicroInverter","c7948e58-a686-491a-83d9-235a62dc9b0e","2024-08-12 14:33:46.20281+00",False
98,"Q.PEAK DUO BLK-G6+/AC 340",NULL,"Hanwha","MicroInverter","14874567-7f1a-48e4-b10f-d8f72e97e950","2024-08-12 14:33:46.20281+00",False
99,"Q.PEAK DUO BLK-G10+/AC 365",NULL,"Hanwha","MicroInverter","33dbf1a1-75cb-46c0-a100-20a44ae1bd4a","2024-08-12 14:33:46.20281+00",False
100,"Q.PEAK DUO BLK-G10+/AC 370",NULL,"Hanwha","MicroInverter","3da3cafa-2dae-4244-b9ee-a45c448db701","2024-08-12 14:33:46.20281+00",False
101,"Q.PEAK DUO BLK-G6+/AC 345",NULL,"Hanwha","MicroInverter","14102dfb-4384-4689-8d01-b8dc2ec1d0a3","2024-08-12 14:33:46.20281+00",False
102,"HM-1000",NULL,"Hoymiles Power","MicroInverter","0aa2ec8c-78a9-431c-aacb-a2e6a9f2295f","2024-08-12 14:33:46.20281+00",False
103,"HM-1000NT",NULL,"Hoymiles Power","MicroInverter","4e6b91f4-2f55-44d3-9dd9-4c520a9b3ada","2024-08-12 14:33:46.20281+00",False
104,"HM-1000N",NULL,"Hoymiles Power","MicroInverter","a1bda942-d708-4cad-9c77-ff1f8c91c05d","2024-08-12 14:33:46.20281+00",False
105,"HM-1200NT",NULL,"Hoymiles Power","MicroInverter","2d183ff6-5f2c-4e3b-aee8-7111910bc4e0","2024-08-12 14:33:46.20281+00",False
106,"HM-1200N",NULL,"Hoymiles Power","MicroInverter","88af14c9-af39-4423-8e44-43fe310bdaca","2024-08-12 14:33:46.20281+00",False
107,"HM-1200",NULL,"Hoymiles Power","MicroInverter","d8ba8377-4435-418e-987d-09f97af2a11f","2024-08-12 14:33:46.20281+00",False
108,"HM-1000T",NULL,"Hoymiles Power","MicroInverter","add0c090-b228-4959-994f-9317b9e3988d","2024-08-12 14:33:46.20281+00",False
109,"HM-1500NT",NULL,"Hoymiles Power","MicroInverter","a96601d3-8a4b-4ea0-be34-281a7a0743ff","2024-08-12 14:33:46.20281+00",False
110,"HM-1200T",NULL,"Hoymiles Power","MicroInverter","d88de808-28d3-41b5-904b-1063223dab77","2024-08-12 14:33:46.20281+00",False
111,"HM-1500",NULL,"Hoymiles Power","MicroInverter","8025878f-f5cd-45a9-8d28-2802df8275ab","2024-08-12 14:33:46.20281+00",False
112,"HM-1500N",NULL,"Hoymiles Power","MicroInverter","0692bb02-1034-4ac6-a87b-47b30201a963","2024-08-12 14:33:46.20281+00",False
113,"HM-300NA",NULL,"Hoymiles Power","MicroInverter","22381ff3-1950-409f-b72d-6f290a320d3d","2024-08-12 14:33:46.20281+00",False
114,"HM-1500T",NULL,"Hoymiles Power","MicroInverter","665abd35-6f86-4a3b-8062-e9df8242ff45","2024-08-12 14:33:46.20281+00",False
115,"HM-300N",NULL,"Hoymiles Power","MicroInverter","2c949cb7-85f3-42ad-90eb-1a07c1bebed0","2024-08-12 14:33:46.20281+00",False
116,"HM-300NT",NULL,"Hoymiles Power","MicroInverter","e0519dc8-a497-4fc3-ae14-abe3012275f9","2024-08-12 14:33:46.20281+00",False
117,"HM-350N",NULL,"Hoymiles Power","MicroInverter","596923be-0397-4b1c-8448-078ff108132a","2024-08-12 14:33:46.20281+00",False
118,"HM-400N",NULL,"Hoymiles Power","MicroInverter","09cef508-16e9-4302-98c8-47088f320c5d","2024-08-12 14:33:46.20281+00",False
119,"HM-350NT",NULL,"Hoymiles Power","MicroInverter","fd249e41-c2b3-4954-aa98-c4a5f47edb53","2024-08-12 14:33:46.20281+00",False
120,"HM-350NA",NULL,"Hoymiles Power","MicroInverter","d2583c74-d083-43e6-9254-150a2a7c4fa0","2024-08-12 14:33:46.20281+00",False
121,"HM-400NT",NULL,"Hoymiles Power","MicroInverter","f60f824d-ecec-46eb-97c7-60e532528ad2","2024-08-12 14:33:46.20281+00",False
122,"HM-600N",NULL,"Hoymiles Power","MicroInverter","45bce507-1959-4607-a58e-508a0871fa17","2024-08-12 14:33:46.20281+00",False
123,"HM-400NA",NULL,"Hoymiles Power","MicroInverter","c810b5df-eb90-40f8-b2d6-761fb9567d4d","2024-08-12 14:33:46.20281+00",False
124,"HM-600NT",NULL,"Hoymiles Power","MicroInverter","d145a8f3-fe58-4f76-a049-9b49e9aca793","2024-08-12 14:33:46.20281+00",False
125,"HM-700N",NULL,"Hoymiles Power","MicroInverter","f34bf606-ec32-4645-9867-00b61b944bf8","2024-08-12 14:33:46.20281+00",False
126,"HM-800N",NULL,"Hoymiles Power","MicroInverter","80b231b9-c8c6-4b37-9a9a-2473f1e1db13","2024-08-12 14:33:46.20281+00",False
127,"HM-700NT",NULL,"Hoymiles Power","MicroInverter","39bea818-61a9-42df-af62-43d862283451","2024-08-12 14:33:46.20281+00",False
128,"HM-800NT",NULL,"Hoymiles Power","MicroInverter","472a17a8-5be2-4ee5-bf3f-6c971e8a94c7","2024-08-12 14:33:46.20281+00",False
129,"HMS-1000-4T",NULL,"Hoymiles Power","MicroInverter","68e7303c-13cd-4cfa-8136-f4b9e950a363","2024-08-12 14:33:46.20281+00",False
130,"HMS-1000-4D-NA",NULL,"Hoymiles Power","MicroInverter","1fa7118b-3954-4aa2-b561-e77b7129ec7e","2024-08-12 14:33:46.20281+00",False
131,"HMS-1000-4T-NA",NULL,"Hoymiles Power","MicroInverter","34ec11fc-0561-4686-8182-8aa69fadc155","2024-08-12 14:33:46.20281+00",False
132,"HMS-1000-4D",NULL,"Hoymiles Power","MicroInverter","aa622c83-960c-4245-a15d-470ab46a141a","2024-08-12 14:33:46.20281+00",False
133,"HMS-1200-4T",NULL,"Hoymiles Power","MicroInverter","38ef695a-b3c2-41ac-ad16-1247f5e04b22","2024-08-12 14:33:46.20281+00",False
134,"HMS-1200-4T-NA",NULL,"Hoymiles Power","MicroInverter","67e971eb-3206-4ab6-a3b0-e64be135a138","2024-08-12 14:33:46.20281+00",False
135,"HMS-1200-4D",NULL,"Hoymiles Power","MicroInverter","ed6211c0-dad0-4ca3-bd8b-3960ddec395e","2024-08-12 14:33:46.20281+00",False
136,"HMS-1200-4D-NA",NULL,"Hoymiles Power","MicroInverter","6cc8aaa1-4546-42d0-81a4-2a9d36c48114","2024-08-12 14:33:46.20281+00",False
137,"HMS-1500-4D-NA",NULL,"Hoymiles Power","MicroInverter","57a2c513-b023-4b84-b415-6223c12bfaa4","2024-08-12 14:33:46.20281+00",False
138,"HMS-1500-4D",NULL,"Hoymiles Power","MicroInverter","651b1e19-0f88-4415-968c-da318982c5b3","2024-08-12 14:33:46.20281+00",False
139,"HMS-1500-4T-NA",NULL,"Hoymiles Power","MicroInverter","909c7d61-2282-4790-ac42-f1d84e851356","2024-08-12 14:33:46.20281+00",False
140,"HMS-1500-4T",NULL,"Hoymiles Power","MicroInverter","9b5251ce-8d46-41bf-b0f3-5b35f7ee3b69","2024-08-12 14:33:46.20281+00",False
141,"HMS-300-1A-NA",NULL,"Hoymiles Power","MicroInverter","e370a814-1c84-4f49-be33-c813267e07c6","2024-08-12 14:33:46.20281+00",False
142,"HMS-350-1A-NA",NULL,"Hoymiles Power","MicroInverter","6143647a-39d4-41af-bf6f-f5698c396b57","2024-08-12 14:33:46.20281+00",False
143,"HMS-300-1D-NA",NULL,"Hoymiles Power","MicroInverter","e86596b2-b7b8-4a09-9631-3eaf117e0679","2024-08-12 14:33:46.20281+00",False
144,"HMS-300-1T-NA",NULL,"Hoymiles Power","MicroInverter","30218ac1-3f1e-460c-9a36-4c7188f449a9","2024-08-12 14:33:46.20281+00",False
145,"HMS-350-1T-NA",NULL,"Hoymiles Power","MicroInverter","56be2aec-743c-46bf-b1e9-b3303bb1c3eb","2024-08-12 14:33:46.20281+00",False
146,"HMS-400-1D-NA",NULL,"Hoymiles Power","MicroInverter","1e35fa67-a8d6-4846-aa97-6f3b9bb71d2b","2024-08-12 14:33:46.20281+00",False
147,"HMS-350-1D-NA",NULL,"Hoymiles Power","MicroInverter","a7dcf517-8084-4278-9311-21a2fbfd5f72","2024-08-12 14:33:46.20281+00",False
148,"HMS-400-1A-NA",NULL,"Hoymiles Power","MicroInverter","39dbecf1-d5f0-421b-8e88-378f67aca79d","2024-08-12 14:33:46.20281+00",False
149,"HMS-400-1T-NA",NULL,"Hoymiles Power","MicroInverter","9a40d436-c785-4bd8-8246-6b08360b0298","2024-08-12 14:33:46.20281+00",False
150,"HMS-600-2T-NA",NULL,"Hoymiles Power","MicroInverter","b8c2063e-5afc-4719-8419-286b9f7716ad","2024-08-12 14:33:46.20281+00",False
151,"HMS-700-2D-NA",NULL,"Hoymiles Power","MicroInverter","8add967e-4d03-469a-91aa-809f7493b293","2024-08-12 14:33:46.20281+00",False
152,"HMS-600-2D-NA",NULL,"Hoymiles Power","MicroInverter","918ce65e-07ee-4e82-84c5-1b01ddbc8b8a","2024-08-12 14:33:46.20281+00",False
153,"HMS-800-2T-NA",NULL,"Hoymiles Power","MicroInverter","c6a19f10-aeab-4c89-96ca-f14bad54f942","2024-08-12 14:33:46.20281+00",False
154,"THM-1500",NULL,"Hoymiles Power","MicroInverter","6bd0d9a2-2e0c-45cb-b07a-50deb48f1739","2024-08-12 14:33:46.20281+00",False
155,"HMS-800-2D-NA",NULL,"Hoymiles Power","MicroInverter","0e26f03a-d9c7-4e3d-965b-a5a6cd95a585","2024-08-12 14:33:46.20281+00",False
156,"HMS-700-2T-NA",NULL,"Hoymiles Power","MicroInverter","e69410e8-4b34-42ba-9d83-20d2a0e23103","2024-08-12 14:33:46.20281+00",False
157,"JKMS270M-60B-EP",NULL,"Jinko Solar","MicroInverter","aa8dca9c-e6bc-42e2-9f4e-14a694a9e676","2024-08-12 14:33:46.20281+00",False
158,"JKMS265M-60B-EP",NULL,"Jinko Solar","MicroInverter","ca536164-489f-423f-be6d-e55d177be4f9","2024-08-12 14:33:46.20281+00",False
159,"JKMS260M-60B-EP",NULL,"Jinko Solar","MicroInverter","3d6e67a0-34ff-42ca-ba16-35767bc93476","2024-08-12 14:33:46.20281+00",False
160,"JKMS275M-60B-EP",NULL,"Jinko Solar","MicroInverter","59e4e5ae-e72b-4827-b68f-45ee2b9388d9","2024-08-12 14:33:46.20281+00",False
161,"JKMS275M-60-EP",NULL,"Jinko Solar","MicroInverter","f254b5e1-6807-4246-a038-f898b57210e5","2024-08-12 14:33:46.20281+00",False
162,"JKMS280M-60B-EP",NULL,"Jinko Solar","MicroInverter","3caa8459-8f79-49c7-8a6f-8f53b22f6fac","2024-08-12 14:33:46.20281+00",False
163,"JKMS285M-60B-EP",NULL,"Jinko Solar","MicroInverter","d1a96faf-54ca-4332-a1fd-2a2d64769215","2024-08-12 14:33:46.20281+00",False
164,"JKMS280M-60-EP",NULL,"Jinko Solar","MicroInverter","f7c71364-56a5-4acb-882e-69eb261baeb8","2024-08-12 14:33:46.20281+00",False
165,"JKMS285M-60-EP",NULL,"Jinko Solar","MicroInverter","1412338b-fe24-4a59-80da-9e639d8feb11","2024-08-12 14:33:46.20281+00",False
166,"JKMS290M-60-EP",NULL,"Jinko Solar","MicroInverter","af849c13-7dff-4a82-b536-a5912036e11f","2024-08-12 14:33:46.20281+00",False
167,"JKMS290M-60B-EP",NULL,"Jinko Solar","MicroInverter","fab5c1a8-c1b4-4e5c-9985-f0f59465bc4c","2024-08-12 14:33:46.20281+00",False
168,"JKMS295M-60B-EP",NULL,"Jinko Solar","MicroInverter","ae528087-4181-49e6-bb30-0f3d89e7421e","2024-08-12 14:33:46.20281+00",False
169,"JKMS295M-60-EP",NULL,"Jinko Solar","MicroInverter","3994626b-0ac4-4938-991f-877134aa9b64","2024-08-12 14:33:46.20281+00",False
170,"JKMS300M-60-EP",NULL,"Jinko Solar","MicroInverter","19fd2b17-f2ac-45c1-ab33-01269e033f79","2024-08-12 14:33:46.20281+00",False
